>
# @D(90,,)|(180.0,,)|UCF_9|UCERF3||(11.0,,)|"Ortigalita (South)"|(1.23,0.35,2.75)|Dextral|(0.0,,)|||||||||||||
-115.286508 32.405134
-115.236572 32.371519
-115.160502 32.314109
-115.083805 32.261723
-115.007619 32.209411
-114.933083 32.152218
>
# @D(90,,)|(180.0,,)|UCF_177|UCERF3||(8.30000019073486,,)|"San Diego Trough south"|(2.06,1.2,2.7)|Dextral|(0.0,,)|||||||||||||
-117.428825 32.447493
-117.352076 32.317965
-117.329247 32.263617
-117.242997 32.167181
-117.213693 32.140455
-117.166753 32.068361
-117.11048 32.02117
-117.083009 31.98074
-117.033767 31.871583
-117.001185 31.825004
-116.965155 31.797774
-116.896383 31.75311
-116.800645 31.684391
-116.773005 31.653614
-116.705128 31.601704
-116.637984 31.579077
-116.528148 31.578082
-116.452675 31.568752
-116.387931 31.551577
-116.322455 31.525488
>
# @D(88,,)|(180.0,,)|UCF_178|UCERF3||(9.0,,)|"San Clemente"|(1.76,0.31,3.45)|Dextral|(0.0,,)|||||||||||||
-117.382539 31.994933
-117.448625 32.038755
-117.50254 32.063277
-117.555102 32.107765
-117.604367 32.125669
-117.664869 32.173872
-117.692363 32.203714
-117.736624 32.233458
-117.774252 32.262009
-117.82937 32.311346
-117.877817 32.35586
-117.914751 32.3929
-117.953395 32.477543
-117.995502 32.544257
-118.045875 32.583077
-118.080884 32.641468
-118.164983 32.704173
-118.226359 32.740645
-118.266172 32.770266
-118.330663 32.83611
-118.365125 32.888944
-118.397439 32.916552
-118.454594 32.948434
-118.483975 32.984281
-118.524849 33.036563
-118.567196 33.07696
-118.627418 33.134131
-118.666064 33.168011
-118.720391 33.215109
-118.804577 33.288003
>
# @D(90,,)|(135.0,,)|UCF_180|UCERF3||(11.0,,)|"Santa Cruz Catalina Ridge alt2"|(1.01,0.6,2.33)|Reverse-Dextral|(0.0,,)|||||||||||||
-118.339735 33.247203
-118.51524 33.299244
-118.64507 33.357821
-118.734509 33.413744
-118.797007 33.497788
-118.847378 33.526389
-118.857353 33.561757
-119.008808 33.650496
-119.048369 33.683817
-119.09158 33.713975
-119.133012 33.745692
-119.202511 33.789249
-119.277873 33.841921
-119.362494 33.891278
-119.487484 33.9851
>
# @D(88,,)|(180.0,,)|UCF_181|UCERF3|NE|(12.3000001907348,,)|"San Pedro Basin"|(1.11,0.49,1.41)|Dextral|(0.800000011920929,,)|||||||||||||
-118.334515 33.471757
-118.383997 33.502613
-118.467427 33.577732
-118.503133 33.640099
-118.584178 33.729656
-118.65695 33.808321
-118.699184 33.85585
-118.722332 33.902369
-118.797322 33.940794
>
# @D(80,,)|(180.0,,)|UCF_208|UCERF3|E|(7.5,,)|"Hosgri (Extension)"|(0.4,0.0,1.04)|Dextral|(0.0,,)|||||||||||||
-120.686471 34.604563
-120.687376 34.663014
-120.691035 34.707458
-120.732081 34.795312
-120.746 34.8548
>
# @D(88,,)|(180.0,,)|UCF_235|UCERF3|NE|(15.0,,)|"Newport-Inglewood alt 1"|(1.22,0.76,1.81)|Dextral|(0.0,,)|||||||||||||
-117.933993 33.612718
-117.993034 33.674472
-118.043641 33.704535
-118.062962 33.71791
-118.075697 33.735499
-118.113773 33.76485
-118.150398 33.788686
-118.205683 33.826655
-118.21281 33.832116
-118.232179 33.843801
-118.264261 33.884745
-118.288056 33.911527
-118.30383 33.930631
-118.318239 33.933248
-118.328788 33.947945
-118.353115 33.961587
-118.360316 33.98879
-118.367231 34.00236
-118.389551 34.043309
>
# @D(70,,)|(nan,,)|UCF_236|UCERF3|NE|(12.3999996185302,,)|"Whittier alt 1"|(1.63,0.87,2.39)|Dextral|(0.0,,)|||||||||||||
-117.59 33.8289
-117.636 33.8511
-117.717 33.8733
-117.792 33.9074
-117.852 33.9297
-117.992 33.9712
-118.048 33.995
>
# @D(75,,)|(nan,,)|UCF_237|UCERF3|NE|(14.1000003814697,,)|"Whittier alt 2"|(1.72,0.82,2.4)|Dextral-Reverse|(0.0,,)|||||||||||||
-117.59 33.8289
-117.636 33.8511
-117.717 33.8733
-117.792 33.9074
-117.852 33.9297
-117.992 33.9712
-118.048 33.995
>
# @D(50,,)|(150.0,,)|UCF_238|UCERF3|W|(9.0,,)|"Chino alt 1"|(0.92,0.37,3.11)|Dextral-Reverse|(0.0,,)|||||||||||||
-117.745 34.0314
-117.708 33.9655
-117.648 33.9073
-117.597 33.8519
>
# @D(65,,)|(150.0,,)|UCF_239|UCERF3|W|(13.3999996185302,,)|"Chino alt 2"|(0.79,0.19,2.95)|Dextral-Reverse|(0.0,,)|||||||||||||
-117.74547 34.033201
-117.710275 33.97237
-117.62862 33.885689
-117.565759 33.824237
>
# @D(90,,)|(-150.0,,)|UCF_244|UCERF3||(13.0,,)|"Panamint Valley"|(2.75,1.68,3.92)|Dextral|(0.0,,)|||||||||||||
-116.904637 35.612188
-116.942309 35.639785
-116.975937 35.659784
-117.051608 35.68278
-117.090485 35.711244
-117.121394 35.754475
-117.167982 35.860766
-117.171031 35.890425
-117.186459 35.920665
-117.214722 36.008113
-117.219646 36.038329
-117.196684 36.070863
-117.219767 36.206965
-117.264329 36.269868
-117.31814 36.307068
-117.411468 36.439636
>
# @D(61,,)|(180.0,,)|UCF_247|UCERF3|NE|(14.6999998092651,,)|"San Gabriel"|(0.56,0.32,2.0)|Dextral-Reverse|(0.0,,)|||||||||||||
-118.280034 34.317807
-118.301 34.3311
-118.428 34.3705
-118.489 34.3947
-118.561 34.4363
-118.644 34.5142
-118.696 34.5606
-118.772 34.6203
-118.816 34.6621
-118.875 34.714
>
# @D(61,,)|(90.0,,)|UCF_248|UCERF3|N|(14.6999998092651,,)|"San Gabriel (Extension)"|(0.5,0.01,1.89)|Dextral|(0.0,,)|||||||||||||
-117.631 34.2629
-117.68 34.235
-117.743 34.2434
-117.889 34.2574
-117.939 34.2492
-118.035 34.246
-118.088 34.2533
-118.136 34.2647
-118.207 34.2867
-118.255 34.3009
-118.280034 34.317807
>
# @D(90,,)|(180.0,,)|UCF_249|UCERF3||(18.7999992370605,,)|"Earthquake Valley"|(1.32,0.09,2.3)|Dextral|(0.0,,)|||||||||||||
-116.585929 33.180546
-116.565 33.1626
-116.527 33.1369
-116.497 33.1106
-116.412291 33.071769
>
# @D(65,,)|(180.0,,)|UCF_250|UCERF3|N|(17.7000007629394,,)|"Mission Creek"|(0.68,0.21,1.12)|Dextral|(0.0,,)|||||||||||||
-116.572397 34.003583
-116.619382 34.018736
-116.695045 34.039421
-116.739703 34.048826
-116.836461 34.045845
-116.899455 34.025506
>
# @D(90,,)|(180.0,,)|UCF_255|UCERF3||(18.7999992370605,,)|"Earthquake Valley (No  Extension)"|(1.19,0.09,2.26)|Dextral|(0.0,,)|||||||||||||
-116.852 33.3756
-116.797 33.327
-116.697 33.2652
-116.669 33.2371
-116.612 33.2029
-116.585929 33.180546
>
# @D(90,,)|(180.0,,)|UCF_256|UCERF3||(18.7999992370605,,)|"Earthquake Valley (So Extension)"|(1.28,0.28,2.34)|Dextral|(0.0,,)|||||||||||||
-116.412291 33.071769
-116.384 33.0588
-116.321 33.0377
>
# @D(90,,)|(180.0,,)|UCF_282|UCERF3||(12.8000001907348,,)|"San Andreas (San Bernardino N)"|(16.98,9.23,24.59)|Dextral|(0.0,,)|||||||||||||
-117.549 34.3163
-117.451 34.2709
-117.388692 34.232843
-117.274161 34.173137
-117.222023 34.150027
>
# @D(90,,)|(180.0,,)|UCF_283|UCERF3||(12.8000001907348,,)|"San Andreas (San Bernardino S)"|(12.28,9.19,15.2)|Dextral|(0.0,,)|||||||||||||
-117.222023 34.150027
-117.067674 34.092795
-117.0139 34.073768
-116.90235 34.033837
-116.873541 34.011347
-116.819795 33.959114
>
# @D(58,,)|(180.0,,)|UCF_284|UCERF3|N|(12.8000001907348,,)|"San Andreas (San Gorgonio Pass-Garnet HIll)"|(10.87,7.94,16.73)|Dextral-Reverse|(0.0,,)|||||||||||||
-116.24629 33.78825
-116.383007 33.848518
-116.426527 33.848123
-116.516889 33.884664
-116.584856 33.907018
-116.623871 33.917569
-116.685809 33.944163
-116.778598 33.937411
-116.801391 33.953154
>
# @D(90,,)|(180.0,,)|UCF_286|UCERF3||(15.1000003814697,,)|"San Andreas (Mojave N)"|(25.33,15.11,36.08)|Dextral|(0.0,,)|||||||||||||
-118.890122 34.807599
-118.887642 34.807221
-118.767314 34.773248
-118.508948 34.698495
>
# @D(90,,)|(180.0,,)|UCF_287|UCERF3||(15.1000003814697,,)|"San Andreas (Big Bend)"|(23.09,13.86,32.43)|Dextral|(0.0,,)|||||||||||||
-119.402865 34.94406
-119.362861 34.915714
-119.21 34.8639
-119.030091 34.828957
-118.890122 34.807599
>
# @D(90,,)|(180.0,,)|UCF_289|UCERF3||(16.1000003814697,,)|"San Jacinto (San Jacinto Valley) rev"|(9.5,4.4,12.97)|Dextral|(0.0,,)|||||||||||||
-117.237 34.017
-117.222 34.0067
-117.08958 33.904534
>
# @D(90,,)|(180.0,,)|UCF_292|UCERF3||(16.7999992370605,,)|"San Jacinto (Clark) rev"|(4.04,1.51,6.63)|Dextral|(0.0,,)|||||||||||||
-116.513295 33.489548
-116.393 33.4166
-116.339 33.396
-116.297 33.3839
-116.21 33.315
-116.147 33.2854
-116.099 33.2558
>
# @D(90,,)|(180.0,,)|UCF_293|UCERF3||(16.7999992370605,,)|"San Jacinto (Anza) rev"|(10.93,5.09,14.12)|Dextral|(0.0,,)|||||||||||||
-116.914297 33.736426
-116.844717 33.696672
-116.549 33.5112
-116.513295 33.489548
>
# @D(76,,)|(180.0,,)|UCF_294|UCERF3|S|(18.2000007629394,,)|"San Andreas (North Branch Mill Creek)"|(1.85,1.37,2.68)|Dextral|(0.0,,)|||||||||||||
-117.270207 34.171718
-117.222023 34.150027
-117.14295 34.134071
-117.084949 34.117338
-116.997473 34.098139
-116.939391 34.084453
-116.839872 34.074855
-116.751149 34.063181
-116.651113 34.034248
-116.562256 34.002651
-116.515888 33.971841
-116.466477 33.933125
-116.422437 33.90582
-116.315976 33.844032
-116.24629 33.78825
>
# @D(90,,)|(180.0,,)|UCF_295|UCERF3||(11.1000003814697,,)|"San Andreas (Coachella) rev"|(15.56,11.49,19.47)|Dextral|(0.0,,)|||||||||||||
-116.24629 33.78825
-115.71192 33.35009
>
# @D(90,,)|(180.0,,)|UCF_296|UCERF3||(13.1999998092651,,)|"Elsinore (Glen Ivy) rev"|(6.23,3.53,9.12)|Dextral|(0.0,,)|||||||||||||
-117.59 33.8289
-117.548 33.8129
-117.463316 33.745095
-117.445676 33.731832
-117.424151 33.71851
-117.402646 33.704534
-117.372703 33.685223
>
# @D(90,,)|(180.0,,)|UCF_299|UCERF3||(14.1999998092651,,)|"Elsinore (Temecula) rev"|(2.96,1.59,4.08)|Dextral|(0.0,,)|||||||||||||
-117.280987 33.6116
-117.204486 33.558972
-117.172139 33.528941
-117.141723 33.497543
-117.053329 33.422973
-117.030907 33.391404
-117.015177 33.370306
-117.008194 33.340914
>
# @D(90,,)|(180.0,,)|UCF_300|UCERF3||(15.1000003814697,,)|"San Andreas (Carrizo) rev"|(25.55,16.38,33.66)|Dextral|(0.0,,)|||||||||||||
-119.8659 35.3142
-119.7068 35.1607
-119.5583 35.0475
-119.4711 34.9878
-119.4029 34.9441
>
# @D(90,,)|(180.0,,)|UCF_301|UCERF3||(13.1000003814697,,)|"San Andreas (Mojave S)"|(24.85,16.0,33.91)|Dextral|(0.0,,)|||||||||||||
-118.508948 34.698495
-118.103936 34.547849
-117.753579 34.402927
-117.549 34.3163
>
# @D(90,,)|(180.0,,)|UCF_547|UCERF3||(12.0,,)|Shoreline|(0.16,0.07,0.42)|Dextral|(0.0,,)|||||||||||||
-120.742 35.132
-120.799 35.177
-120.874 35.213
-120.906 35.235
-120.937 35.256
>
# @D(70,,)|(135.0,,)|UCF_561|UCERF3|SE|(12.0,,)|"Butano 2011 CFM"|(0.71,0.01,2.49)|Reverse-Dextral|(0.0,,)|||||||||||||
-121.928086 37.121111
-121.99243 37.144104
-122.081102 37.197708
-122.175829 37.215362
-122.272726 37.272789
-122.386786 37.307124
>
# @D(90,,)|(180.0,,)|UCF_581|UCERF3||(10.0,,)|"Bennett Valley 2011 CFM"|(1.03,0.01,4.12)|Dextral|(0.0,,)|||||||||||||
-122.46963 38.22547
-122.53673 38.29239
-122.59186 38.37576
-122.64652 38.43466
-122.65549 38.48029
>
